Date,Time,Amount,Price,<Unknown>
2018.08.07,11:17:33,-0.01961058,7082.2,276682334
2018.08.07,11:17:33,-0.07006354,7082.2,276682335
2018.08.07,11:17:34,-0.00999885,7082.2,276682337
2018.08.07,11:17:35,0.40051926,7082.3,276682347
2018.08.07,11:17:35,1.04057772,7082.3,276682348
2018.08.07,11:17:35,-0.015,7082.2,276682351
2018.08.07,11:17:39,0.00993555,7082.6,276682363
2018.08.07,11:17:44,-0.005,7082.4,276682376
2018.08.07,11:17:49,-0.03543065,7082.5,276682402
2018.08.07,11:17:55,0.0704979,7082.6,276682425
2018.08.07,11:17:55,-0.015,7082.5,276682428
2018.08.07,11:18:15,-0.01,7082.5,276682464
2018.08.07,11:18:24,0.41956655,7082.6,276682481
2018.08.07,11:18:24,1.3233,7084.6,276682482
2018.08.07,11:18:24,0.96580452,7084.7,276682483
2018.08.07,11:18:24,0.34343137,7084.8,276682484
2018.08.07,11:18:24,6.94789756,7085,276682485
2018.08.07,11:18:30,1,7083.6,276682492
2018.08.07,11:19:00,0.12,7083.8,276682526
2018.08.07,11:19:10,1.88,7083.8,276682549
2018.08.07,11:19:10,1.12,7083.8,276682550
2018.08.07,11:19:20,0.015,7084.1,276682573
2018.08.07,11:19:24,0.015,7084.1,276682587
2018.08.07,11:19:35,-0.005,7084,276682607
2018.08.07,11:19:47,-0.261359,7084,276682622
2018.08.07,11:19:47,-0.1,7084,276682623
2018.08.07,11:19:47,-0.05,7083.7,276682624
2018.08.07,11:19:47,-0.088641,7083.5,276682625
2018.08.07,11:19:57,0.01,7084.1,276682634
2018.08.07,11:19:59,0.0069,7084.1,276682635
2018.08.07,11:20:01,0.04189766,7084.1,276682636
2018.08.07,11:20:02,0.01011649,7084.1,276682639
2018.08.07,11:20:02,0.00761885,7084.1,276682641
2018.08.07,11:20:02,-0.1,7084,276682642
2018.08.07,11:20:02,0.09608348,7084.1,276682643
2018.08.07,11:20:07,0.03154986,7084.1,276682650
2018.08.07,11:20:08,-0.006546,7084,276682660
2018.08.07,11:20:08,-0.03,7084,276682661
2018.08.07,11:20:08,-0.01960851,7083.5,276682662
2018.08.07,11:20:15,0.070495,7084,276682682
2018.08.07,11:20:23,-0.01904,7083.9,276682703
2018.08.07,11:20:36,-0.02358,7083.9,276682730
2018.08.07,11:20:36,-0.06,7083.9,276682731
2018.08.07,11:20:36,-0.03642,7083.7,276682732
2018.08.07,11:20:39,0.013987,7083.9,276682782
2018.08.07,11:20:49,-0.01,7083.7,276682835
2018.08.07,11:20:51,-0.00358,7083.7,276682837
2018.08.07,11:20:51,-0.04642,7083.5,276682838
2018.08.07,11:20:55,-0.5,7083.5,276682840
2018.08.07,11:20:55,0.07042529,7083.6,276682858
2018.08.07,11:20:56,0.68793705,7083.6,276682867
2018.08.07,11:21:01,-0.00314649,7083.1,276682879
2018.08.07,11:21:01,0.00705715,7083.6,276682882
2018.08.07,11:21:26,-0.005,7083.2,276682961
2018.08.07,11:21:32,-0.315,7083.2,276682988
2018.08.07,11:21:32,-0.00685351,7083.1,276682989
2018.08.07,11:21:32,-0.2919702,7083.1,276682990
2018.08.07,11:21:32,-0.27967629,7083,276682991
2018.08.07,11:21:46,0.07049319,7083.1,276683041
2018.08.07,11:21:50,0.01443164,7083.1,276683062
2018.08.07,11:21:59,-0.015,7083,276683084
2018.08.07,11:22:02,0.04239415,7083.1,276683112
2018.08.07,11:22:03,0.05446638,7083.1,276683114
2018.08.07,11:22:07,1.90313947,7083.1,276683118
2018.08.07,11:22:07,2.5,7083.3,276683119
2018.08.07,11:22:07,0.65,7083.46126884,276683121
2018.08.07,11:22:07,0.02,7083.8,276683122
